item_name,category,menu_price,ingredient_cost,units_sold,month,year,prep_time_minutes,allergens,dietary_tags,day_of_week_avg,time_of_day_peak,weather_impact,promo_active,supplier,customer_rating,returns_complaints,food_cost_pct,margin,cost_warning,slow_prep_flag,low_rating_flag,complaints_flag
Classic Cheeseburger,Entree,12.99,3.5,450.00,January,2025,15,"Dairy,Gluten,Soy",None,Tuesday,Lunch,Neutral,No,Sysco,4.3,2,27%,9.49,OK,OK,OK,OK
Classic Cheeseburger,Entree,12.99,3.5,420.00,February,2025,15,"Dairy,Gluten,Soy",None,Tuesday,Lunch,Negative,No,Sysco,4.3,1,27%,9.49,OK,OK,OK,OK
Classic Cheeseburger,Entree,12.99,3.5,480.00,March,2025,15,"Dairy,Gluten,Soy",None,Friday,Lunch,Neutral,No,Sysco,4.4,3,27%,9.49,OK,OK,OK,High complaints
Classic Cheeseburger,Entree,12.99,3.5,510.00,April,2025,15,"Dairy,Gluten,Soy",None,Saturday,Lunch,Positive,Yes,Sysco,4.4,1,27%,9.49,OK,OK,OK,OK
Classic Cheeseburger,Entree,12.99,3.5,540.00,May,2025,15,"Dairy,Gluten,Soy",None,Saturday,Lunch,Positive,No,Sysco,4.5,2,27%,9.49,OK,OK,OK,OK
Classic Cheeseburger,Entree,12.99,3.5,580.00,June,2025,15,"Dairy,Gluten,Soy",None,Friday,Lunch,Positive,No,Sysco,4.5,1,27%,9.49,OK,OK,OK,OK
Classic Cheeseburger,Entree,12.99,3.5,610.00,July,2025,15,"Dairy,Gluten,Soy",None,Saturday,Lunch,Positive,Yes,Sysco,4.6,0,27%,9.49,OK,OK,OK,OK
Classic Cheeseburger,Entree,12.99,3.5,595.00,August,2025,15,"Dairy,Gluten,Soy",None,Friday,Lunch,Positive,No,Sysco,4.5,1,27%,9.49,OK,OK,OK,OK
Classic Cheeseburger,Entree,12.99,3.5,520.00,September,2025,15,"Dairy,Gluten,Soy",None,Thursday,Lunch,Neutral,No,Sysco,4.4,2,27%,9.49,OK,OK,OK,OK
Classic Cheeseburger,Entree,12.99,3.5,490.00,October,2025,15,"Dairy,Gluten,Soy",None,Saturday,Lunch,Neutral,Yes,Sysco,4.5,1,27%,9.49,OK,OK,OK,OK
Classic Cheeseburger,Entree,12.99,3.5,460.00,November,2025,15,"Dairy,Gluten,Soy",None,Friday,Dinner,Negative,No,Sysco,4.4,3,27%,9.49,OK,OK,OK,High complaints
Classic Cheeseburger,Entree,12.99,3.5,530.00,December,2025,15,"Dairy,Gluten,Soy",None,Saturday,Dinner,Negative,Yes,Sysco,4.5,2,27%,9.49,OK,OK,OK,OK
Bacon Cheeseburger,Entree,14.99,4.2,380.00,January,2025,15,"Dairy,Gluten,Soy",None,Friday,Dinner,Neutral,No,Sysco,4.5,1,28%,10.79,OK,OK,OK,OK
